prime_genre,rating_count_tot
"Photo & Video",34585
"Social Networking",34584
Shopping,34507
"Social Networking",34428
Finance,34322
Games,34138
Games,34039
"Health & Fitness",33969
"Photo & Video",33921
Games,33868
Games,33854
Games,33808
Games,33724
Games,33698
"Health & Fitness",33426
Games,33407
Games,33282
Games,32988
News,32881
Productivity,32807
Entertainment,32763
Music,32650
"Photo & Video",32558
Games,32533
Games,32527
Productivity,32499
Games,32492
Games,32395
Travel,32341
"Photo & Video",32338
Games,32215
Games,32020
Games,31981
Business,31912
Games,31727
Games,31456
Games,31311
Travel,31261
Games,31219
Entertainment,31180
Entertainment,31116
Games,30967
Music,30845
Games,30830
Games,30704
Games,30670
Travel,30552
Shopping,30434
Games,29886
Games,29817
Games,29739
"Photo & Video",29554
Games,29548
Games,29540
Entertainment,29492
Games,29475
Business,29376
Productivity,29110
News,29107
Games,29090
"Photo & Video",29078
Games,28902
Games,28900
Games,28754
Games,28672
"Photo & Video",28654
"Social Networking",28633
Music,28606
Entertainment,28560
Games,28524
Weather,28497
"Health & Fitness",28439
Business,28388
Games,28361
Games,28341
"Social Networking",28260
Games,28216
"Photo & Video",28189
Games,28187
Games,28153
Weather,28032
Utilities,27791
Utilities,27750
Games,27738
Entertainment,27711
"Social Networking",27662
Games,27593
Games,27556
"Health & Fitness",27421
Games,27388
Sports,27317
Games,27122
Games,26990
Games,26881
Reference,26786
Games,26732
Utilities,26697
Games,26685
Games,26547
Games,26482
Games,26419
Shopping,26353
Entertainment,26333
Music,26286
Entertainment,26278
Games,26259
Music,26227
"Photo & Video",26060
"Food & Drink",25947
Games,25859
Games,25834
Games,25834
Games,25806
Games,25716
"Photo & Video",25683
Games,25517
Utilities,25475
Music,25403
Music,25193
Games,25152
Games,24999
Games,24935
Games,24909
Games,24880
Games,24878
Games,24808
Games,24760
Business,24744
Productivity,24602
News,24553
Games,24547
"Photo & Video",24530
Games,24507
Productivity,24430
Games,24314
Games,24306
Entertainment,24258
Shopping,24244
Games,24097
Games,24057
Entertainment,23967
"Social Networking",23965
Games,23910
Games,23895
Games,23878
Games,23810
Games,23779
Finance,23775
Games,23766
Games,23735
Games,23655
Games,23556
"Social Networking",23530
Education,23349
Games,23298
"Social Networking",23201
Games,23160
Games,23148
Utilities,23063
Games,23015
Games,22902
Games,22877
Weather,22792
Shopping,22729
Games,22674
Games,22557
Games,22458
Games,22444
Games,22324
Travel,22302
Games,22302
Games,22281
Games,22150
Reference,22100
Games,22079
Games,21984
Games,21977
Games,21881
Finance,21858
Sports,21830
Entertainment,21825
Games,21804
Games,21733
Games,21648
Entertainment,21609
Games,21601
Productivity,21561
Games,21472
Games,21432
Games,21416
Games,21414
Games,21407
Games,21347
Games,21325
Games,21292
Finance,21090
Entertainment,21082
Games,21025
Games,21016
Entertainment,21012
Entertainment,20988
Games,20980
Sports,20953
Utilities,20951
Entertainment,20943
Games,20911
Games,20911
Games,20906
Games,20812
Games,20805
"Social Networking",20649
Games,20621
Lifestyle,20546
Education,20383
Games,20383
Games,20355
Education,20322
Games,20254
Sports,20251
Entertainment,20243
"Photo & Video",20200
Games,20147
Games,20144
Games,20113
Business,20069
Entertainment,20065
Games,20064
Education,19981
Productivity,19977
Finance,19946
Games,19784
Games,19776
Games,19621
Lifestyle,19540
Games,19355
Games,19354
Games,19340
Games,19296
Games,19199
Games,19067
Games,19018
Games,18971
Games,18943
Games,18920
Entertainment,18884
"Social Networking",18841
Games,18822
Games,18821
Games,18758
Education,18749
Games,18735
Games,18733
News,18572
Shopping,18544
Games,18494
Entertainment,18492
"Social Networking",18482
Reference,18418
Games,18358
Games,18332
"Photo & Video",18316
Games,18306
Games,18259
Productivity,18219
Music,18202
Games,18141
Games,18107
Games,18072
Games,18037
Shopping,18035
Games,17925
Shopping,17906
Games,17895
Games,17867
"Food & Drink",17865
Games,17865
Games,17776
"Social Networking",17694
"Health & Fitness",17667
Productivity,17594
Reference,17588
Finance,17516
Lifestyle,17489
Entertainment,17487
Games,17436
Games,17376
Games,17254
Games,17213
Games,17203
Games,17190
Games,17023
Games,17012
Sports,16979
Games,16968
Games,16948
Entertainment,16925
Games,16879
Entertainment,16867
Games,16852
Reference,16849
"Health & Fitness",16819
Games,16805
"Social Networking",16772
"Photo & Video",16729
Education,16683
Sports,16683
Games,16674
Games,16567
Productivity,16555
Education,16523
Games,16460
Games,16457
"Health & Fitness",16434
Sports,16385
Games,16358
Games,16305
Games,16259
"Photo & Video",16221
"Photo & Video",16221
Games,16116
Shopping,16105
Entertainment,15984
Productivity,15981
Entertainment,15900
Games,15876
Weather,15809
Education,15801
Entertainment,15797
"Photo & Video",15654
Games,15617
"Photo & Video",15605
Shopping,15593
Sports,15554
Games,15430
Games,15399
Games,15398
Games,15365
Games,15336
Games,15290
Productivity,15248
"Health & Fitness",15188
"Social Networking",15185
Games,15175
Games,15142
"Health & Fitness",15116
"Photo & Video",15060
Games,15056
Music,15053
Games,15030
Games,14995
Utilities,14986
Navigation,14970
Games,14912
Games,14910
Entertainment,14844
"Photo & Video",14744
"Social Networking",14724
Games,14724
Shopping,14682
Games,14673
Games,14605
Games,14593
Games,14592
Games,14505
Games,14505
Games,14493
Games,14491
Productivity,14469
Games,14461
Games,14407
"Social Networking",14402
Games,14381
Games,14361
News,14345
Music,14268
Games,14263
Games,14247
Games,14214
Games,14202
