prime_genre,avg(user_rating),sum(rating_count_tot)
Games,4.061196736174071,51957704
"Social Networking",3.5120967741935485,7591181
"Photo & Video",3.850591715976331,5004848
Music,3.985294117647059,3979230
Entertainment,3.505592841163311,3978781
Shopping,3.9691358024691357,2261757
"Health & Fitness",3.8454545454545452,1782356
Weather,3.6911764705882355,1597012
Sports,3.0865384615384617,1596495
Utilities,3.3768115942028984,1521930
